2020-01-12 18:27:50.564 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:27:50.565 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:27:50.566 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:28:00.564 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:28:00.565 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:28:00.566 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:28:00.567 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:28:00.567 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:28:00.568 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:28:00.568 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:28:00.569 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:28:10.557 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:28:10.558 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:28:10.559 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:28:10.560 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:28:10.561 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:28:10.563 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:28:10.563 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:28:10.564 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:28:20.558 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:28:20.559 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:28:20.560 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:28:20.560 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:28:20.561 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:28:20.562 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:28:20.562 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:28:20.563 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:28:30.562 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:28:30.564 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:28:30.564 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:28:30.566 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:28:30.566 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:28:30.568 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:28:30.569 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:28:30.570 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:28:40.559 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:28:40.560 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:28:40.561 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:28:40.561 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:28:40.561 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:28:40.562 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:28:40.563 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:28:40.563 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:28:50.557 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:28:50.558 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:28:50.558 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:28:50.559 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:28:50.559 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:28:50.560 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2020-01-12 18:28:50.560 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2020-01-12 18:28:50.561 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2020-01-12 18:29:00.560 -03:00 [INF] > PedidoEntregueJob: Iniciando
2020-01-12 18:29:00.561 -03:00 [INF] > PedidoEntregueJob: Finalizado
2020-01-12 18:29:00.561 -03:00 [INF] > PedidoPagamentoSitucaoJob: Iniciando
2020-01-12 18:29:00.562 -03:00 [INF] > PedidoPagamentoSitucaoJob: Finalizado
2020-01-12 18:29:00.562 -03:00 [INF] > PedidoFinalziadoJob: Iniciando
2020-01-12 18:29:00.564 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
